Topic,Count,Name,Representation,Representative_Docs
-1,1,-1____,"['', '', '', '', '', '', '', '', '', '']","['untuk kualitas ternyata sama dengan merk china lain p juga yang harga nya ribu an bahkan lebih bagus merk lain di ribu an lalu untuk pengiriman lambat sekali dari official store pesan tanggal sampai tanggal sehingga saya tidak sempat menggunakan pada zoom meeting dan harus memakai hp cukup kecewa dengan produk dan pelayanan logitech kalau untuk keyboard nya dan mouse nya memang cukup bagus beberapa model nya tapi saya kapok beli disini karena barang akan hanya di proses beberapa jam sebelum pembatalan walaupun pesan nya di hari biasa', 'saat diterima tutup wajan ada yang bermasalah dan di wajannya ada goresan bermasalahnya bukan karena proses pengiriman tapi memang dari sononya cacat kecewa dengan respon penjual yang bilang goresannya enggak masalah padahal saya kan beli baru beli wajan anti gores malah terima yang bergores dan kualitas bermasalah langsung ajukan komplain sudah terima wajannya lagi yang tidak gores cuma tetap beberapa yang mengecewakan kecewa jadi lama dan saya harus repot mengurus pengembalian barangnya kalau mau jual yang diskon jangan kasih yang kualitasnya enggak bagus atau sampaikan saja produknya ada beberapa bermasalah makanya dikasih diskon resiko beli online semoga awet', 'barang pesanan sampai cuma tidak sesuai dengan yang saya pesan komplain tidak ditanggapi dibales cuma sekedarnya di telp tidak diangkat di wa enggak di balas dari pada lama menunggu balasan dari agan ini mending saya jual saja itu liquid baru kali ini belanja di tokopedia nemu seller yang kayak begini enggak lagi deh belanja disini percuma di deskripsi gede ditulis jangan sampai kurang isi keterangan soalnya bkl an di kasih random eh ini malah seller nya sendiri yang salah begitu meminta maaf pun enggak mending dikasih nic pesannya nic tapi produk sama lah ini seller salah mengirim produk yang dipesan kalo saya siy kecewa berat belanja disini karena barang salah kirim taunya bakalan susah di retur saya juga lagi liburan gara begini saya sibuk mengurusi beginian menunggu masalah ini cepat kelar sorry tapi sayang not recommended seller']"
0,215,0_warna_hitam_pesan_sesuai,"['warna', 'hitam', 'pesan', 'sesuai', 'putih', 'datang', 'dikirim', 'biru', 'beda', 'pink']","['tidak sesuai pesanan pesan warna merah putih yang dikirim warna lain', 'warna enggak sesuai', 'warna salah pesan warna hitam dapat warna putih']"
1,412,1_enggak_toko_barang_mau,"['enggak', 'toko', 'barang', 'mau', 'beli', 'seller', 'penjual', 'kirim', 'jangan', 'pembeli']","['enggak rekomendasi untuk beli disini ada masalah tapi seller enggak jawab pesan tadinya enggak mau pakai fitur komplain tokped karena gue kira seller bakal mau tanggung jawab tapi sampai pesanan otomatis selesai belum juga ada balasan buat pelajaran saja buat yang lain beli barang kayak gacha kalau lagi enggak beruntung bisa dapat barang jelek dan enggak bisa dituker', 'jangan mau beli disini kemasan nya jelek barang sampai dalam keadaan pecah dan seller nya enggak mau tanggung jawab', 'kecewa barang enggak sampai toko nya enggak mau tanggung jawab dan respon nya lama banget benar benar kecewa jangan beli disini lagi untuk kalian yang baca komen ini respon nya lama banget dari delivery nya juga kacau nyasarin barang dan enggak mau tanggung jawab beli barang tapi barangnya enggak sampai benar benar kecewa']"
2,210,2_packing_box_rapi_packingnya,"['packing', 'box', 'rapi', 'packingnya', 'plastik', 'penyok', 'bekas', 'aman', 'barang', 'keadaan']","['datang dalam keadaan gagang bengkok pecah enggak niat banget packingnya minimal digulung pakai kardus bekas lah biar enggak rusak produknya belanja di official store kok seperti belanja di toko biasa enggak sempat difoto barang langsung dibuang masuk tempat sampah sebagus apapun produk yang dibuat kalau pengiriman dan packing tidak aman tidak ada gunanya', 'tidak ada lapisan pelindung sama sekali entah itu plastik ataupun wraping dus yang diterima dalam keadaan penyok ember banyak lecet pengiriman sangat lama dari hari minggu sampai nya hari rabu padahal masih sama jakarta padahal beli nya di toko official resmi lebih bagus beli di toko yang biasa sebelumnya saya beli ditoko yang biasa buat hadiah hari sampai harga lebih murah packing bagus ini toko resmi malah hancur mana buat hadiah lagi tutup saja tokonya', 'packing kurang rapi tidak aman dus penyok player hancur']"
3,210,3_sesuai_gambar_ukuran_kecil,"['sesuai', 'gambar', 'ukuran', 'kecil', 'sesuai gambar', 'enggak sesuai', 'foto', 'barang sesuai', 'enggak', 'barang']","['tidak sesuai gambar', 'tidak sesuai gambar dan kecil', 'ukuran enggak sesuai jumbonya kecil']"
4,161,4_nyala_lampu_berfungsi_kabel,"['nyala', 'lampu', 'berfungsi', 'kabel', 'enggak', 'mati', 'hidup', 'satu', 'dipakai', 'charger']","['barang sampai kabel yang dikasih rusak jadi harus pakai kabel lain biar lampu nyala mungkin next qc nya bisa di tingkatkan', 'lampunya enggak nyala', 'lampu nya mengecewakan tidak nyala semua']"
5,119,5_enak_bau_enggak enak_wangi,"['enak', 'bau', 'enggak enak', 'wangi', 'rasa', 'rasanya', 'enggak', 'kayak', 'wanginya', 'beli']","['rasa udang rebon semur ayam lele kikil enak semua tapi untuk ayam ungkepnya maaf benar mengecewakan pertama kali saya buka boxnya baunya amis tidak fresh tercium lalu saya goreng masih amis barusan saya coba ungkep ulang dengan bumbu ayam goreng dan saya goreng ternyata masih tercium bau tidak enak terutama pada bagian tulangnya padahal saya sudah langsung pesan box dengan kurir gojek instan sudah ada hanya permintaan maaf dari penjual', 'menyesal setengah mati beli nih produk beli gara lihat ulasannya kok positif semua sumpah ini krim baunya enggak enak banget kalo boleh digambarkan baunya itu perpaduan antara muntahan bayi dan minyak nyong om iya separah itu ini yang pada kasih ulasan hidungnya pada mati rasa atau bagaimana ya pengiriman sih cepat dan bagus but sorry the product is a nightmare very pricey tau begini gue tetap beli wak doyok yang wanginya jauh lebih enak dan jauh lebih murah this cream is really not recommended', 'menyesal setengah mati beli nih produk beli gara lihat ulasannya kok positif semua sumpah ini krim baunya enggak enak banget kalo boleh digambarkan baunya itu perpaduan antara muntahan bayi dan minyak nyong om iya separah itu ini yang pada kasih ulasan hidungnya pada mati rasa atau bagaimana ya pengiriman sih cepat dan bagus but sorry the product is a nightmare very pricey tau begini gue tetap beli wak doyok yang wanginya jauh lebih enak dan jauh lebih murah this cream is really not recommended']"
6,162,6_harga_kualitas_kurang_bagus,"['harga', 'kualitas', 'kurang', 'bagus', 'kurang bagus', 'murah', 'lebih', 'produk', 'mahal', 'bahan']","['kualitas kurang bagus', 'harga kualitas terlalu jauh harga tinggi vs kualitas rendah', 'orang beli disini karena terkecoh harga murah kali ya produk enggak guna enggak berfungsi seperti waxing lain pada umumnya harga murah karena memang produk murahan']"
7,79,7_bubble_bubble wrap_wrap_kardus,"['bubble', 'bubble wrap', 'wrap', 'kardus', 'packing', 'padahal', 'enggak', 'pakai', 'expedisi', 'plastik']","['pecah kondisi mash di plastik bubble wrap', 'disuruh tambah bubble wrap malah bubble wrap nya di paking sendiri gangerti', 'awal dikirim bareng sih packing rapi ya tapi ada bocel sama kaki tripod karetnya ada yang hilang terus saya balikim barangnya saya kasih bubble wrap buat balikin tapi seller kirim bareng barunya sama sekali enggak pakai bubble wrap alhasil banyak lecet penyok dibilang dari seller katanya harus xtra bubble wrap tau begitu saya balikinnya enggak usah memakai bubble wrap']"
8,209,8_pengiriman_tanggal_lama_hari,"['pengiriman', 'tanggal', 'lama', 'hari', 'proses', 'baru', 'lambat', 'dikirim', 'order', 'jam']","['kecewa sama toko official ini enggak tau kenapa pesenan pertama enggak dikonfirmasi sampai di batalin sistem karena enggak direspon sama sekali pesanan kedua karena disuruh pesan lagi sama tokonya dan cuma dikonfirmasi doang enggak dikirim sampai sudah tinggal menit sebelum dibatalin sistem lagi tapi untungnya gara chat cs tokopedia akhirnya barang bakalan dikirim didetik terakhir enggak cuma sampai situ saja payahnya barang baru diambil kurir tanggal dan pickup barang sama kurir lebih dari hari proses kirim pun lemot muter padahal sudah lewat depan rumah baru tanggal jam malam paketnya sampai', 'pelayanan terburuk selama belanja di tokopedia pengiriman lama sekali order tanggal juli barang baru tiba tanggal agustus order saya baru dikonfirmasi dan diproses tanggal agustus sedangkan estimasi barang tiba itu tanggal agustus itupun dikonfirmasi dan diproses karena saya tanya kali ke cs pagi ini saya complaint ke cs kalau mereka tidak telat konfirmasi proses dan kirim pasti order saya juga enggak akan telat yang ada saya disuruh cek resi sungguh keterlaluan saya baca review toko official ini dan hampir semua yang kasih bad review karena masalah yang sama dengan saya tolong ya kepada manajemen toko official deli stationary membenahi operasionalnya dan di training lagi cs nya biar lebih pintar lagi menanggapi customer enggak usah pakai embel toko official kalo pelayanannya merugikan customer', 'kecewa dan sangat tidak puas dengan pelayanan sejak tanggal setelah order barang saat itu status masih menunggu konfirmasi jadi artinya belum diproses oleh penjual saya melakukan pembatalan karena saya ingin mengganti produk yang akan saya beli di toko yang sama saya konfirmasi penjual melalu chat sampai kali untuk meminta proses pembatalan sampai malam hari sebelum tidur status masih menunggu konfirmasi yang artinya pesanan saya belum diproses tapi kemudian tanggal juli pagi penjual mengubah statusnya menjadi diproses yang artinya penjual tidak berkenan melakukan pembatalan dan status diubah jadi menunggu kurir masih ditanggal pagi tapi sampai tanggal barang belum dikirim dan status masih menunggu kurir status pengiriman tidak terupdate penjual menyalahkan pihak provider pengiriman barang baru dikirim setelat saya lapor ke pihak tokopedia']"
9,129,9_enggak_enggak pakai_pakai_buat,"['enggak', 'enggak pakai', 'pakai', 'buat', 'barang', 'jadi', 'sama', 'cek', 'datang', 'dipakai']","['barang tidak ada komplain tidak direspon pelajaran buat yang beli disini cek hati saat datang', 'barang tidak ada komplain tidak direspon pelajaran buat yang beli disini cek hati saat datang', 'barang tidak ada komplain tidak direspon pelajaran buat yang beli disini cek hati saat datang']"
10,148,10_rusak_patah_barang_barang rusak,"['rusak', 'patah', 'barang', 'barang rusak', 'baru', 'pecah', 'rusak dikirim', 'cepat', 'jelek', 'dikirim']","['barang rusak kok dikirim', 'barang rusak', 'barang nya rusak']"
11,65,11_buku_bukunya_halaman_kertas,"['buku', 'bukunya', 'halaman', 'kertas', 'kotor', 'cover', 'kurang', 'jadi', 'cepat', 'cetakan']","['bukunya pas dibuka agak kotor begitu terus ada beberapa penyokan disisi buku', 'buku ini belum saya terima', 'material dan packaging nya bagus dan rapi tapi halaman di bukunya banyak banget yang kebalik halaman yang harusnya ada di awal malah ada di akhir buku jadi ada yang harusnya di tengah buku malah di akhir buku jadi bacanya pindah pindah bingung dan enggak nyaman']"
12,99,12_kecewa_mengecewakan_kecewa kecewa_mati,"['kecewa', 'mengecewakan', 'kecewa kecewa', 'mati', 'belanja', 'salah', 'sungguh', 'kecewaa', 'kecewa mengecewakan', 'semua']","['kecewa', 'kecewa', 'kecewa']"
13,96,13_pcs_beli_video_komplain,"['pcs', 'beli', 'video', 'komplain', 'coba', 'segel', 'barang', 'unboxing', 'enggak', 'ternyata']","['sangat kecewa dengan barang yang di terima segel samsung sudah terbuka katanya dari sananya di dalam plasti segel ada kartu byu sudah di buka segel pelaatiknya yang makin parah layar banyak sidik jari tertinggal baru buka curiga curang tokonya barang mukin di tukar sama yang kau seperti kepala carger kabel dll hati di toko ini harus lebih waspada dan di tanya detail kedua penjelasan juga enggak bisa selalu bilang enggak tau kakak dari sana dari sana kalo dari samsung asli sesuai pembicaraan buat apa samsung buat segel bahkan ada tulisan jangan terima segel rusak kurang baik pokoknya toko ini merasa barang bekas', 'beli pcs tapi yang rusak', 'kecewa beli nya pcs tetapi yang datang hanya pcs']"
